Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,Reg_No,SoldIn,Country,Prod_conf,input_power_min,input_power_max,decoding_type,autostandby,hdmistandby,psv_standby_power,act_standby_power,onmode_power,Apply_type_for,url,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status
40977,PACE,DS230,,2008-11-20,ZST0001,New Zealand,China,STB STV Satellite,17.0,50.0,SD Only,-,-,0.0,6.02,7.7,MEPS Only,,,,Approved,Class 4,Unavailable
46492,Ultraplus,680 Platinum,,2009-09-18,ZST0002,New Zealand,South Korea,STB STV Satellite,0.0,25.0,SD Only,-,-,0.0,8.784,9.984,MEPS Only,,,,Approved,Class 4,Unavailable
46531,Ferguson,FX6600CR,,2011-09-19,ZST0003,New Zealand,South Korea,STB STV Satellite,0.0,30.0,SD Only,-,-,0.0,6.648,7.392,MEPS Only,,,,Approved,Class 4,Unavailable
46532,Hyundai,HSS-760A,,2009-09-19,ZST0004,New Zealand,South Korea,STB FTA Terrestrial,0.0,30.0,SD Only,-,-,0.0,7.656,8.4,MEPS Only,,,,Approved,Class 1,Unavailable
46534,Octagon,SF218,,2009-09-19,ZST0005,New Zealand,Germany,STB FTA Terrestrial,-,-,SD Only,-,-,0.0,5.712,6.504,MEPS Only,,,,Approved,Class 1,Unavailable
46543,Satlink,2800,,2009-09-19,ZST0006,New Zealand,China,STB STV Satellite,-,-,SD Only,-,-,0.0,5.856,7.2,MEPS Only,,,,Approved,Class 4,Unavailable
46546,Satlink,2800 12V,,2009-09-19,ZST0007,New Zealand,China,STB STV Satellite,-,-,SD Only,-,-,0.0,2.688,3.936,MEPS Only,,,,Approved,Class 4,Unavailable
46547,Topfield,TF6000Fe,,2009-09-19,ZST0008,New Zealand,South Korea,STB STV Satellite,0.0,24.0,SD Only,-,-,0.0,9.984,10.608,MEPS Only,,,,Approved,Class 4,Unavailable
46548,Topfield,TF5050CI HDMI,,2009-09-19,ZST0009,New Zealand,South Korea,STB STV Satellite,0.0,27.0,SD Only,-,-,0.0,9.0,10.08,MEPS Only,,,,Approved,Class 4,Unavailable
46549,Globo,4100C,,2009-09-19,ZST0010,New Zealand,Poland,STB STV Satellite,0.0,20.0,SD Only,-,-,0.0,6.264,7.536,MEPS Only,,,,Approved,Class 4,Unavailable
