Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50***AU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LBLAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LCRAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LPBAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LPGAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LRDAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LSVAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50LWHAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RBLAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RCRAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
